fournisseur;ID_fournisseurs;Nom de l'agence;CP;ville;Latitude ville;Longitude ville;region;Pays;adresse complete;latitude (fournisseur);longitude (fournisseur);Email;Produit 
LOXAM ;Lo;CORNER LOXAM - STARMAT ADMC;91000;AVRAINVILLE;48.5623782;2.247154;ILE DE FRANCE;France ;Route Departementale 449, 91630, France;48.561650586489776;2.2633493770918305;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM RENTAL FONTENAY TRESIGNY;77000;FONTENAY TRESIGNY;48.7100369;2.8722456;ILE DE FRANCE;France ;Z.A.E. Fregy, 77610, France;48.70024285071656;2.888009271955614;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CREMAILLÈRES LOXAM LAHO TEC;93000;BOBIGNY;48.906387;2.4452231;ILE DE FRANCE;France ;109, rue Benoit Frachon, 93000, France;48.90164210914011;2.4305636417833854;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS NORD AULNAY;93000;AULNAY SOUS BOIS;48.934231;2.499789;ILE DE FRANCE;France ;4 Rue Jean Chaptal - ZI De La Garenne, 93600, France;48.94599867980373;2.485021277510774;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS SUD CHILLY;91000;CHILLY MAZARIN;48.7026161;2.3123582;ILE DE FRANCE;France ;14 Bis Rue Denis Papin - ZA La Vigne Aux Loups, 91380, France;48.708874494059735;2.306601387299452;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT LE HOLLOCO;95000;EZANVILLE;49.031707;2.361889;ILE DE FRANCE;France ;12 avenue Jean Rostand, 95460, France;49.044744747713025;2.3771352825624033;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT L'ISLE ADAM;95000;L'ISLE ADAM;49.1125294;2.2186324;ILE DE FRANCE;France ;3 avenue Napoleon 1er, 95290, France;49.12714211157688;2.2444251044683865;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - STARMAT HERBLAY;95000;HERBLAY;48.9898588;2.166162;ILE DE FRANCE;France ;403 route de conflans, 95220, France;49.00616093560518;2.1362419197928144;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM CITY REPUBLIQUE;75000;PARIS;48.8534951;2.3483915;ILE DE FRANCE;France ;121 Boulevard Richard Lenoir, 75011, France;48.86573529052718;2.3706623100501765;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM CITY PORTE DOREE;75000;PARIS;48.8534951;2.3483915;ILE DE FRANCE;France ;59 Boulevard Poniatowski, 75012, France;48.83465054100867;2.408331977440526;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;LOXAM ACCESS PARIS SUD BONDOUFLE;91000;BONDOUFLE;48.6103845;2.3655279;ILE DE FRANCE;France ;22 bis rue Gustave Eiffel, 91070, France;48.62289101633038;2.376629279362495;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOR MAULE;78000;MAULE;48.9079595;1.8505364;ILE DE FRANCE;France ;59 Boulevard Paul Barre, 78580, France;48.91187336562604;1.8545504333041334;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA NEMOURS;77000;NEMOURS;48.2385017;2.7820919;ILE DE FRANCE;France ;21 Rue d'Egreville, 77140, France;48.26489649919999;2.715234393868795;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA ORGEVAL;78000;ORGEVAL;48.9175;1.96982;ILE DE FRANCE;France ;2900 Route de Quarante Sous, 78630, France;48.9333836261541;1.9691540417542324;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICORAMA RAMBOUILLET;78000;RAMBOUILLET;48.6452851;1.819207;ILE DE FRANCE;France ;26 Rue Gustave Eiffel, 78120, France;48.626790278893765;1.8267002393712883;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - GEDIMAT ECUELLES;77000;ECUELLES;48.352101;2.7936471;ILE DE FRANCE;France ;29 Avenue de Sens, 77250, France;48.37081128134868;2.8299912068391433;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - CASTORAMA VILLABE;91000;VILLABE;48.5885996;2.4544951;ILE DE FRANCE;France ;ZAC des Brateaux - 1 rue de la Plaine, 91100, France;48.58839238168028;2.445042364896725;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOCASH MORMANT;77000;MORMANT;48.6136858;2.8889649;ILE DE FRANCE;France ;rue Lavoisier, 77720, France;48.61378210448002;2.881298726409369;mounir.amraoui@loxam.fr;PETITS ENGINS
LOXAM ;Lo;CORNER LOXAM - BRICOMARCHE DOURDAN;91000;DOURDAN;48.5288442;2.0153689;ILE DE FRANCE;France ;42 rue Raymond Laubier, 91410, France;48.52721406195057;2.022278226233344;mounir.amraoui@loxam.fr;PETITS ENGINS
